TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B02011,,,,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,,
B02011,,,,Universe:  Asian alone or in combination with one or more other races,,
B02011,05000US01003,"Baldwin County, Alabama",1,Total:,"3,143",+/-201
B02011,05000US01015,"Calhoun County, Alabama",1,Total:,"1,594",+/-270
B02011,05000US01043,"Cullman County, Alabama",1,Total:,903,+/-397
B02011,05000US01049,"DeKalb County, Alabama",1,Total:,588,+/-514
B02011,05000US01051,"Elmore County, Alabama",1,Total:,707,+/-500
B02011,05000US01055,"Etowah County, Alabama",1,Total:,944,+/-201
B02011,05000US01069,"Houston County, Alabama",1,Total:,"1,406",+/-50
B02011,05000US01073,"Jefferson County, Alabama",1,Total:,"13,687",+/-299
B02011,05000US01077,"Lauderdale County, Alabama",1,Total:,869,+/-93
B02011,05000US01081,"Lee County, Alabama",1,Total:,"7,622",+/-184
B02011,05000US01083,"Limestone County, Alabama",1,Total:,"1,840",+/-201
B02011,05000US01089,"Madison County, Alabama",1,Total:,"13,292",+/-972
B02011,05000US01095,"Marshall County, Alabama",1,Total:,768,+/-201
B02011,05000US01097,"Mobile County, Alabama",1,Total:,"10,837","+/-1,197"
B02011,05000US01101,"Montgomery County, Alabama",1,Total:,"8,041",+/-318
B02011,05000US01103,"Morgan County, Alabama",1,Total:,"1,047",+/-201
B02011,05000US01115,"St. Clair County, Alabama",1,Total:,959,+/-201
B02011,05000US01117,"Shelby County, Alabama",1,Total:,"5,613",+/-201
B02011,05000US01125,"Tuscaloosa County, Alabama",1,Total:,"4,125",+/-152
B02011,05000US02020,"Anchorage Municipality, Alaska",1,Total:,"37,640","+/-1,084"
B02011,05000US02090,"Fairbanks North Star Borough, Alaska",1,Total:,"5,448",+/-662
B02011,05000US02170,"Matanuska-Susitna Borough, Alaska",1,Total:,"3,481",+/-376
B02011,05000US04001,"Apache County, Arizona",1,Total:,450,+/-304
B02011,05000US04003,"Cochise County, Arizona",1,Total:,"3,846",+/-198
B02011,05000US04005,"Coconino County, Arizona",1,Total:,"4,663",+/-712
B02011,05000US04013,"Maricopa County, Arizona",1,Total:,"244,080","+/-3,087"
B02011,05000US04015,"Mohave County, Arizona",1,Total:,"3,405",+/-109
B02011,05000US04017,"Navajo County, Arizona",1,Total:,"1,170",+/-310
B02011,05000US04019,"Pima County, Arizona",1,Total:,"44,720","+/-1,945"
B02011,05000US04021,"Pinal County, Arizona",1,Total:,"11,241",+/-898
B02011,05000US04025,"Yavapai County, Arizona",1,Total:,"3,626",+/-193
B02011,05000US04027,"Yuma County, Arizona",1,Total:,"3,774",+/-410
B02011,05000US05007,"Benton County, Arkansas",1,Total:,"12,605",+/-137
B02011,05000US05031,"Craighead County, Arkansas",1,Total:,685,+/-600
B02011,05000US05045,"Faulkner County, Arkansas",1,Total:,"2,171",+/-87
B02011,05000US05051,"Garland County, Arkansas",1,Total:,"1,179",+/-201
B02011,05000US05069,"Jefferson County, Arkansas",1,Total:,659,+/-201
B02011,05000US05085,"Lonoke County, Arkansas",1,Total:,"1,104",+/-85
B02011,05000US05119,"Pulaski County, Arkansas",1,Total:,"11,934","+/-1,122"
B02011,05000US05125,"Saline County, Arkansas",1,Total:,"1,924",+/-201
B02011,05000US05131,"Sebastian County, Arkansas",1,Total:,"6,649",+/-126
B02011,05000US05143,"Washington County, Arkansas",1,Total:,"8,345",+/-747
B02011,05000US05145,"White County, Arkansas",1,Total:,"1,021",+/-367
B02011,05000US06001,"Alameda County, California",1,Total:,"575,221","+/-3,032"
B02011,05000US06007,"Butte County, California",1,Total:,"14,810",+/-545
